i->num,i->cx,i->cy,i->rect.x,i->rect.y,i->rect.width,i->rect.height,i->state,i->ep[i],time



11,1376.5,1577,1356,1530,42,95,1,1356,1624,1356,1530,1397,1530,1397,1624,15
14,1362.5,1174,1351,1153,24,43,1,1351,1195,1351,1153,1374,1153,1374,1195,15
19,1090.16,760.527,1064,727,53,68,1,1105.95,793.324,1064.59,786.433,1074.38,727.73,1115.73,734.622,15
284,849.826,433.55,835,415,31,38,1,854.569,451.864,835.426,445.819,845.083,415.237,864.227,421.282,15
200,850.023,318.815,829,303,43,33,1,866.8,334.6,829.877,329.985,833.246,303.031,870.169,307.646,15
290,1304,2127,1283,2113,43,29,1,1283,2141,1283,2113,1325,2113,1325,2141,16
203,1232.73,2001.82,1213,1968,41,69,1,1242.13,2035.42,1213.31,2030.81,1223.33,1968.21,1252.15,1972.82,16
11,1380.57,1557.47,1357,1508,48,100,1,1397.43,1606.56,1357.34,1603.89,1363.71,1508.38,1403.8,1511.05,16
14,1365.5,1158,1353,1138,26,41,1,1353,1178,1353,1138,1378,1138,1378,1178,16
19,1094.5,751,1071,723,48,57,1,1071,779,1071,723,1118,723,1118,779,16
284,846.102,442.211,830,423,33,39,1,853.314,460.609,830.77,454.676,838.891,423.814,861.435,429.746,16
200,846.789,325.498,824,307,46,38,1,863.415,343.041,824.842,335.623,830.163,307.954,868.736,315.372,16
290,1308.38,2101.45,1283,2083,52,37,1,1288.55,2118.95,1283.43,2092.67,1328.21,2083.96,1333.32,2110.24,17
203,1236.64,1976.33,1217,1943,40,68,1,1246.16,2009.49,1217.6,2005.09,1227.13,1943.17,1255.68,1947.57,17
11,1381,1538,1361,1491,41,95,1,1361,1585,1361,1491,1401,1491,1401,1585,17
14,1368.5,1143,1355,1123,28,41,1,1355,1163,1355,1123,1382,1123,1382,1163,17
19,1097.5,740.5,1074,713,48,56,1,1074,768,1074,713,1121,713,1121,768,17
284,843.1,451.7,826,432,36,41,1,849.6,471.2,826.2,463.4,836.6,432.2,860,440,17
200,843.547,332.702,820,313,48,40,1,859.67,351.588,820.644,342.296,827.425,313.815,866.451,323.107,17
290,1317.22,2049.57,1288,2006,59,88,1,1329.56,2092.33,1288.69,2083.72,1304.88,2006.82,1345.75,2015.42,18
203,1240.59,1950.43,1221,1917,41,68,1,1249.7,1983.78,1221.16,1979.03,1231.49,1917.08,1260.03,1921.84,18
11,1383,1519,1363,1472,41,95,1,1363,1566,1363,1472,1403,1472,1403,1566,18
14,1371.65,1127.14,1357,1106,31,44,1,1384.26,1148.1,1357.26,1146.92,1359.04,1106.18,1386.03,1107.35,18
19,1101,730,1078,702,47,57,1,1078,758,1078,702,1124,702,1124,758,18
284,838.683,460.84,820,439,39,44,1,844.225,481.74,820.032,471.778,833.142,439.941,857.334,449.902,18
200,840.12,339.16,818,321,45,38,1,857.28,357.04,818.64,351.52,822.96,321.28,861.6,326.8,18
290,1320.8,2026.62,1291,1984,61,86,1,1330.93,2068.4,1291.05,2057.67,1310.66,1984.83,1350.54,1995.57,19
203,1243.96,1925.85,1224,1893,41,67,1,1253.38,1958.64,1224.71,1954.02,1234.54,1893.05,1263.21,1897.68,19
11,1385,1499.5,1365,1453,41,94,1,1365,1546,1365,1453,1405,1453,1405,1546,19
14,1373,1112,1359,1092,29,41,1,1359,1132,1359,1092,1387,1092,1387,1132,19
19,1103.99,719.738,1079,690,51,60,1,1082.19,748.569,1079.28,693.354,1125.78,690.906,1128.69,746.122,19
284,834.388,469.402,816,449,38,42,1,840.969,489.754,816.489,481.114,827.806,449.049,852.286,457.689,19
200,836.712,345.942,813,327,48,39,1,853.692,364.538,813.885,356.577,819.731,327.346,859.539,335.308,19
290,1324,2010.5,1293,1976,63,71,1,1336,2045,1293.7,2030.9,1312,1976,1354.3,1990.1,20
203,1247.7,1901.99,1228,1870,41,65,1,1256.83,1933.75,1228.38,1928.81,1238.57,1870.23,1267.01,1875.18,20
11,1387.5,1481,1368,1435,40,93,1,1368,1527,1368,1435,1407,1435,1407,1527,20
14,1375.73,1097.04,1361,1075,31,45,1,1388.05,1118.11,1361.28,1116.7,1363.42,1075.97,1390.19,1077.38,20
19,1106.81,709.878,1082,681,51,59,1,1085.19,738.569,1082.3,683.616,1128.43,681.188,1131.32,736.141,20
284,829.331,479.195,810,457,40,45,1,834.728,500.947,810.183,490.84,823.935,457.444,848.479,467.55,20
200,833.358,353.041,808,332,51,43,1,850.057,373.383,808.808,362.528,816.658,332.699,857.907,343.554,20

290,1321.24,2007.12,1297,1980,50,55,1,1340.47,2033.35,1297.2,2029.02,1302.01,1980.9,1345.28,1985.23,21
203,1251.71,1877.53,1233,1845,38,66,1,1261.36,1909.48,1233.5,1905.5,1242.06,1845.58,1269.92,1849.56,21
11,1390,1463,1370,1417,41,93,1,1370,1509,1370,1417,1410,1417,1410,1509,21
14,1377.83,1082.52,1363,1061,31,44,1,1390.16,1103.18,1363.3,1101.68,1365.51,1061.86,1392.37,1063.35,21
19,1110,700.5,1087,673,47,56,1,1087,728,1087,673,1133,673,1133,728,21
284,825.685,488.239,806,465,40,48,1,830.453,511.121,806.711,501.887,820.917,465.357,844.66,474.59,21
200,829.358,360.314,807,341,46,40,1,847.301,379.24,807.083,373.878,811.415,341.389,851.633,346.751,21
424,722.251,2112.03,688,2065,69,94,1,730.865,2158.99,688.56,2145.86,713.637,2065.06,755.942,2078.19,22
290,1322.99,1970.11,1302,1954,43,33,1,1340.41,1985.27,1302.66,1981.07,1305.56,1954.95,1343.32,1959.15,22
203,1254.72,1857.76,1237,1830,36,56,1,1264.9,1884.71,1237.68,1881,1244.53,1830.8,1271.75,1834.51,22
11,1391.5,1444,1372,1398,40,93,1,1372,1490,1372,1398,1411,1398,1411,1490,22
14,1380,1068.5,1366,1048,29,42,1,1366,1089,1366,1048,1394,1048,1394,1089,22
19,1112.99,690.334,1088,662,51,58,1,1091.26,718.652,1088.26,664.597,1134.72,662.015,1137.73,716.071,22
284,821.269,497.846,801,474,41,48,1,825.941,520.858,801.749,510.896,816.598,474.834,840.79,484.796,22
200,826.269,380.395,804,345,46,71,1,808.826,414.978,804.244,348.535,843.711,345.813,848.294,412.256,22
424,730.55,2086.16,694,2037,74,99,1,737.068,2134.81,694.688,2119.67,724.032,2037.51,766.412,2052.65,23
290,1325,1947.17,1304,1933,43,30,1,1307.67,1961.17,1304.66,1938.09,1342.33,1933.17,1345.34,1956.26,23
203,1259.02,1832.18,1241,1804,37,57,1,1269.06,1859.92,1241.92,1856.22,1248.98,1804.45,1276.12,1808.15,23
11,1394.5,1426,1375,1381,40,91,1,1375,1471,1375,1381,1414,1381,1414,1471,23
14,1382.5,1062,1369,1034,28,57,1,1369,1090,1369,1034,1396,1034,1396,1090,23
19,1116,681.5,1093,655,47,54,1,1093,708,1093,655,1139,655,1139,708,23
284,816.387,506.505,795,482,44,50,1,820.588,530.928,795.443,519.753,812.186,482.083,837.33,493.258,23

200,822.5,388,803,354,40,69,1,803,422,803,354,842,354,842,422,23
424,737.156,2060.04,704,2011,67,99,1,746.772,2108.61,704.635,2097.37,727.539,2011.48,769.676,2022.71,24
290,1329,1922,1310,1910,39,25,1,1310,1934,1310,1910,1348,1910,1348,1934,24
